SSID,BSSID,MANUFACTURER,HIGHEST SIGNAL W/GPS,AUTHENTICATION,ENCRYPTION,RADIO TYPE,CHANNEL,LATITUDE,LONGITUDE,BTX,OTX,FIRST SEEN(UTC),LAST SEEN(UTC),NETWORK TYPE,LABEL, HIGHEST SIGNAL, HIGHEST RSSI,name,network_id,signal,frequency,longitude,latitude,SIGNAL,High Signal,RSSI,High RSSI,SATELLITES,HDOP,ALTITUDE,HEIGHT OF GEOID,SPEED(km/h),SPEED(MPH),TRACK ANGLE,DATE(UTC),TIME(UTC)
133,1a:02:19:c1:7e:e9,Unknown,0.0,WPA2-Personal,CCMP,802.11ac,6,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:28:47.167,2024-11-15 06:44:39.526,Infrastructure,Unknown,97.0,-36.0,133,1a:02:19:c1:7e:e9,-33,2437,102.61030163806956,17.962943163214614,,,,,,,,,,,,,
HUAWEI-094A-2.4G,98:9c:57:f3:09:4a,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,WPA2-Personal,CCMP,802.11n,5,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-15 06:28:50.075,2024-11-15 06:32:16.644,Infrastructure,Unknown,84.0,-56.0,HUAWEI-094A-2.4G,98:9c:57:f3:09:4a,-64,2432,102.60665554098192,17.962744405177126,,,,,,,,,,,,,
Galaxy A7265C4,fe:61:95:d0:0d:87,Unknown,0.0,WPA2-Personal,CCMP,802.11ac,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:28:50.075,2024-11-15 06:34:32.726,Infrastructure,Unknown,48.0,-79.0,Galaxy A7265C4,fe:61:95:d0:0d:87,-77,2462,102.60842573814249,17.96218145284513,,,,,,,,,,,,,
HuaweiAPMgt04:F9:38:8F:48:80,04:f9:38:8f:48:8f,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,Open,,802.11n,6,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:28:51.090,2024-11-15 06:34:41.279,Infrastructure,Unknown,91.0,-45.0,HuaweiAPMgt04:F9:38:8F:48:80,04:f9:38:8f:48:8f,-72,2437,102.6055400167151,17.96300681131289,,,,,,,,,,,,,
OPPO A12,26:82:6a:75:61:a1,Unknown,0.0,WPA2-Personal,CCMP,802.11ac,6,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:28:51.090,2024-11-15 06:29:47.781,Infrastructure,Unknown,77.0,-67.0,OPPO A12,26:82:6a:75:61:a1,-73,2437,102.60981531867056,17.960620964273907,,,,,,,,,,,,,
Galaxy40_1A_23,c2:bd:c8:40:5a:23,Unknown,0.0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:28:51.090,2024-11-15 06:34:43.022,Infrastructure,Unknown,72.0,-71.0,Galaxy40_1A_23,c2:bd:c8:40:5a:23,-92,2462,102.60768700064668,17.962468926118262,,,,,,,,,,,,,
2bc46c45,a4:04:50:54:44:54,nFore Technology Inc.,0.0,WPA2-Personal,CCMP,802.11ac,44,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:28:59.196,2024-11-15 06:34:40.262,Infrastructure,Unknown,15.0,-90.0,2bc46c45,a4:04:50:54:44:54,-80,5220,102.60842573814249,17.96218145284513,,,,,,,,,,,,,
wbgmobile,e4:4e:2d:df:48:e3,"Cisco Systems, Inc",0.0,WPA2-Enterprise,CCMP,802.11ax,11,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:29:21.442,2024-11-15 06:29:55.849,Infrastructure,Unknown,9.0,-92.0,wbgmobile,e4:4e:2d:df:48:e3,-84,2462,102.60791838949898,17.962415341132637,,,,,,,,,,,,,
Long,fa:94:9c:e2:b8:4c,Unknown,0.0,WPA2-Personal,CCMP,802.11ac,157,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:29:29.522,2024-11-15 06:43:54.981,Infrastructure,Unknown,86.0,-53.0,Long,fa:94:9c:e2:b8:4c,-92,5785,102.6098552760086,17.96323078519141,,,,,,,,,,,,,
bluemarlin,e4:4e:2d:df:48:eb,"Cisco Systems, Inc",0.0,WPA2-Enterprise,CCMP,802.11ax,36,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:29:40.682,2024-11-15 06:30:31.167,Infrastructure,Unknown,9.0,-92.0,bluemarlin,e4:4e:2d:df:48:eb,-86,5180,102.60793303798624,17.96244064497874,,,,,,,,,,,,,
wbgbbwifi,e4:4e:2d:df:48:ed,"Cisco Systems, Inc",0.0,WPA2-Personal,CCMP,802.11ax,36,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:29:40.682,2024-11-15 06:30:31.167,Infrastructure,Unknown,9.0,-92.0,wbgbbwifi,e4:4e:2d:df:48:ed,-85,5180,102.60793303798624,17.96244064497874,,,,,,,,,,,,,
hyrax,e4:4e:2d:df:48:ee,"Cisco Systems, Inc",0.0,WPA2-Personal,CCMP,802.11ax,36,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:29:40.682,2024-11-15 06:30:31.167,Infrastructure,Unknown,9.0,-92.0,hyrax,e4:4e:2d:df:48:ee,-86,5180,102.60793303798624,17.96244064497874,,,,,,,,,,,,,
guest,e4:4e:2d:df:48:ef,"Cisco Systems, Inc",0.0,WPA2-Personal,CCMP,802.11ax,36,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:29:40.682,2024-11-15 06:30:31.167,Infrastructure,Unknown,12.0,-91.0,guest,e4:4e:2d:df:48:ef,-86,5180,102.60793303798624,17.96244064497874,,,,,,,,,,,,,
wbgmobile,e4:4e:2d:df:48:ec,"Cisco Systems, Inc",0.0,WPA2-Enterprise,CCMP,802.11ax,36,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:29:47.781,2024-11-15 06:30:20.077,Infrastructure,Unknown,6.0,-93.0,wbgmobile,e4:4e:2d:df:48:ec,-86,5180,102.60793303798624,17.96244064497874,,,,,,,,,,,,,
GT6_8033,66:91:98:2c:4f:a1,Unknown,0.0,OWE,CCMP,802.11ac,36,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:29:51.826,2024-11-15 06:30:28.131,Infrastructure,Unknown,42.0,-81.0,GT6_8033,66:91:98:2c:4f:a1,-74,5180,102.60791999999896,17.962405000011383,,,,,,,,,,,,,
iPhone,4a:d1:d0:77:66:80,Unknown,0.0,OWE,CCMP,802.11n,6,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-15 06:30:09.986,2024-11-15 06:32:28.309,Infrastructure,Unknown,78.0,-66.0,iPhone,4a:d1:d0:77:66:80,-66,2437,102.60694319184066,17.963067712576667,,,,,,,,,,,,,
Wo4G-2B65,24:1f:a0:5f:8e:4c,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,WPA2-Personal,CCMP,802.11n,7,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:30:20.077,2024-11-15 06:34:56.263,Infrastructure,Unknown,54.0,-77.0,Wo4G-2B65,24:1f:a0:5f:8e:4c,-77,2442,102.60712698759696,17.962611395078675,,,,,,,,,,,,,
Galaxy Tab S6 Lite 681F,ea:c9:53:d6:c8:fb,Unknown,0.0,WPA2-Personal,CCMP,802.11ac,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:30:24.107,2024-11-15 06:32:12.814,Infrastructure,Unknown,75.0,-70.0,Galaxy Tab S6 Lite 681F,ea:c9:53:d6:c8:fb,-92,2462,102.60712698759696,17.962611395078675,,,,,,,,,,,,,
chaoanouvong,b8:85:7b:8b:29:ec,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,WPA2-Personal,CCMP,802.11ac,11,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-15 06:30:28.131,2024-11-15 06:35:13.812,Infrastructure,Unknown,39.0,-82.0,chaoanouvong,b8:85:7b:8b:29:ec,-87,2462,102.60560286996972,17.96299252606552,,,,,,,,,,,,,
MG-WiFi,c0:14:fe:ce:e0:0f,"Cisco Systems, Inc",0.0,Open,,802.11ac,64,0.0,0.0,"18,24,36,48,54",,2024-11-15 06:30:28.131,2024-11-15 06:34:56.263,Infrastructure,Unknown,69.0,-72.0,MG-WiFi,c0:14:fe:ce:e0:0f,-70,5320,102.60674101172312,17.96277657506419,,,,,,,,,,,,,
Free-WiFi,c0:14:fe:ce:e0:0e,"Cisco Systems, Inc",0.0,Open,,802.11ac,64,0.0,0.0,"18,24,36,48,54",,2024-11-15 06:30:28.131,2024-11-15 06:34:56.263,Infrastructure,Unknown,69.0,-72.0,Free-WiFi,c0:14:fe:ce:e0:0e,-68,5320,102.60674101172312,17.96277657506419,,,,,,,,,,,,,
1e70968a,f4:91:1e:70:96:8a,ZHUHAI EWPE INFORMATION TECHNOLOGY INC,0.0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-15 06:30:31.167,2024-11-15 06:32:33.186,Infrastructure,Unknown,78.0,-66.0,1e70968a,f4:91:1e:70:96:8a,-70,2412,102.60694319184066,17.963067712576667,,,,,,,,,,,,,
Dr Souliya A71,e6:28:c5:d6:28:b3,Unknown,0.0,WPA2-Personal,CCMP,802.11ac,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:30:31.167,2024-11-15 06:31:16.813,Infrastructure,Unknown,76.0,-69.0,Dr Souliya A71,e6:28:c5:d6:28:b3,-82,2462,102.60655116196143,17.96277282278945,,,,,,,,,,,,,
HuaweiAPMgt04:F9:38:8F:7D:20,04:f9:38:8f:7d:2f,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,Open,,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:30:31.167,2024-11-15 06:31:58.332,Infrastructure,Unknown,82.0,-59.0,HuaweiAPMgt04:F9:38:8F:7D:20,04:f9:38:8f:7d:2f,-62,2412,102.60653499999998,17.962786669226766,,,,,,,,,,,,,
BCEL-CCT-UPDATE-EDC,a8:9d:21:5f:cb:13,"Cisco Systems, Inc",0.0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:30:31.167,2024-11-15 06:34:56.263,Infrastructure,Unknown,77.0,-67.0,BCEL-CCT-UPDATE-EDC,a8:9d:21:5f:cb:13,-75,2412,102.6065350000536,17.96278666965371,,,,,,,,,,,,,
BCEL-VIP-WIFI,a8:9d:21:5f:cb:11,"Cisco Systems, Inc",0.0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:30:31.167,2024-11-15 06:34:56.263,Infrastructure,Unknown,76.0,-69.0,BCEL-VIP-WIFI,a8:9d:21:5f:cb:11,-75,2412,102.6065350000536,17.96278666965371,,,,,,,,,,,,,
BK_EXT,5c:a6:e6:83:f2:d2,TP-Link Corporation Limited,0.0,WPA2-Personal,CCMP,802.11n,7,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-15 06:30:39.232,2024-11-15 06:35:06.435,Infrastructure,Unknown,42.0,-81.0,BK_EXT,5c:a6:e6:83:f2:d2,-75,2442,102.60653499999998,17.96278667062466,,,,,,,,,,,,,
Free-WiFi,a8:9d:21:5f:cb:12,"Cisco Systems, Inc",0.0,Open,,802.11n,1,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:30:48.295,2024-11-15 06:34:56.263,Infrastructure,Unknown,76.0,-69.0,Free-WiFi,a8:9d:21:5f:cb:12,-75,2412,102.6065350000536,17.96278666965371,,,,,,,,,,,,,
MG-WiFi,a8:9d:21:5f:cb:10,"Cisco Systems, Inc",0.0,Open,,802.11n,1,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:30:48.295,2024-11-15 06:34:56.263,Infrastructure,Unknown,69.0,-72.0,MG-WiFi,a8:9d:21:5f:cb:10,-75,2412,102.6065350000536,17.96278666965371,,,,,,,,,,,,,
anouvong,b8:85:7b:8b:29:f1,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,OWE,CCMP,802.11ax,40,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:30:56.489,2024-11-15 06:40:23.428,Infrastructure,Unknown,78.0,-66.0,anouvong,b8:85:7b:8b:29:f1,-77,5200,102.60589448840868,17.962960875228166,,,,,,,,,,,,,
MG-WiFi,b0:26:80:cd:2f:60,"Cisco Systems, Inc",0.0,Open,,802.11n,1,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:30:56.489,2024-11-15 06:31:58.332,Infrastructure,Unknown,54.0,-77.0,MG-WiFi,b0:26:80:cd:2f:60,-83,2412,102.60653499999998,17.962786669226766,,,,,,,,,,,,,
Free-WiFi,b0:26:80:cd:2f:61,"Cisco Systems, Inc",0.0,Open,,802.11n,1,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:30:58.629,2024-11-15 06:31:58.332,Infrastructure,Unknown,54.0,-77.0,Free-WiFi,b0:26:80:cd:2f:61,-82,2412,102.60653499999998,17.962786669226766,,,,,,,,,,,,,
HP7B6F79,02:2b:db:22:e8:1c,Unknown,0.0,Open,,802.11b,10,0.0,0.0,"1,2,5.5,11",,2024-11-15 06:31:00.636,2024-11-15 06:31:30.952,Ad Hoc,Unknown,24.0,-87.0,HP7B6F79,02:2b:db:22:e8:1c,-91,2457,102.60653499999998,17.962786670494996,,,,,,,,,,,,,
mFi_0AE349,4c:bc:98:0a:e3:49,IEEE Registration Authority,0.0,WPA2-Personal,CCMP,802.11n,13,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:31:08.711,2024-11-15 06:31:37.986,Infrastructure,Unknown,21.0,-88.0,mFi_0AE349,4c:bc:98:0a:e3:49,-94,2472,102.6065350000536,17.96278666965371,,,,,,,,,,,,,
DIRECT-a6-HP M227f LaserJet,f2:a6:54:74:e6:a6,Unknown,0.0,WPA2-Personal,CCMP,802.11n,6,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:31:28.930,2024-11-15 06:32:16.644,Infrastructure,Unknown,51.0,-78.0,DIRECT-a6-HP M227f LaserJet,f2:a6:54:74:e6:a6,-76,2437,102.60694319184066,17.963067712576667,,,,,,,,,,,,,
I_am_beautiful,88:bf:e4:6b:72:fe,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,WPA2-Personal,CCMP,802.11n,5,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-15 06:31:28.930,2024-11-15 06:32:01.486,Infrastructure,Unknown,27.0,-86.0,I_am_beautiful,88:bf:e4:6b:72:fe,-75,2432,102.60694319184066,17.963067712576667,,,,,,,,,,,,,
HP79C66C,02:2d:ad:50:b6:4a,Unknown,0.0,Open,,802.11b,10,0.0,0.0,"1,2,5.5,11",,2024-11-15 06:31:28.930,2024-11-15 06:32:08.655,Ad Hoc,Unknown,48.0,-79.0,HP79C66C,02:2d:ad:50:b6:4a,-76,2457,102.60694319184066,17.963067712576667,,,,,,,,,,,,,
Free-WiFi,a8:9d:21:5f:e3:12,"Cisco Systems, Inc",0.0,Open,,802.11n,11,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:31:30.952,2024-11-15 06:32:28.309,Infrastructure,Unknown,78.0,-66.0,Free-WiFi,a8:9d:21:5f:e3:12,-66,2462,102.60706138004925,17.963320235454212,,,,,,,,,,,,,
DIRECT-Ng-EPSON-L5290 Series,3a:1a:52:f1:50:19,Unknown,0.0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:31:32.979,2024-11-15 06:32:05.424,Infrastructure,Unknown,45.0,-80.0,DIRECT-Ng-EPSON-L5290 Series,3a:1a:52:f1:50:19,-82,2412,102.60694319184066,17.963067712576667,,,,,,,,,,,,,
MG-WiFi,a8:9d:21:5f:e3:10,"Cisco Systems, Inc",0.0,Open,,802.11n,11,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:31:32.979,2024-11-15 06:32:28.309,Infrastructure,Unknown,78.0,-66.0,MG-WiFi,a8:9d:21:5f:e3:10,-64,2462,102.60706138004925,17.963320235454212,,,,,,,,,,,,,
Samsung AirPurifier_E50AJTAP101E,50:fd:d5:ea:73:7f,SJI Industry Company,0.0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:31:32.979,2024-11-15 06:32:28.309,Infrastructure,Unknown,80.0,-63.0,Samsung AirPurifier_E50AJTAP101E,50:fd:d5:ea:73:7f,-65,2412,102.60706138004925,17.963320235454212,,,,,,,,,,,,,
BCEL-VIP-WIFI,a8:9d:21:5f:e3:11,"Cisco Systems, Inc",0.0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:31:32.979,2024-11-15 06:32:28.309,Infrastructure,Unknown,78.0,-66.0,BCEL-VIP-WIFI,a8:9d:21:5f:e3:11,-64,2462,102.60706138004925,17.963320235454212,,,,,,,,,,,,,
BCEL-CCT-UPDATE-EDC,a8:9d:21:5f:e3:13,"Cisco Systems, Inc",0.0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:31:32.979,2024-11-15 06:32:28.309,Infrastructure,Unknown,79.0,-65.0,BCEL-CCT-UPDATE-EDC,a8:9d:21:5f:e3:13,-65,2462,102.60706138004925,17.963320235454212,,,,,,,,,,,,,
BOH,dc:b7:ac:73:c2:b2,"Aruba, a Hewlett Packard Enterprise Company",0.0,WPA2-Personal,CCMP,802.11ax,108,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:31:34.278,2024-11-15 06:43:08.527,Infrastructure,Unknown,63.0,-74.0,BOH,dc:b7:ac:73:c2:b2,-85,5540,102.60888051542403,17.963765061857952,,,,,,,,,,,,,
Redmi Note 10S,ca:fc:f6:45:c7:47,Unknown,0.0,WPA2-Personal,CCMP,802.11ac,13,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:31:34.278,2024-11-15 06:44:39.526,Infrastructure,Unknown,75.0,-70.0,Redmi Note 10S,ca:fc:f6:45:c7:47,-94,2472,102.61032941480464,17.963021515140728,,,,,,,,,,,,,
Nam Phu,dc:b7:ac:73:c2:b3,"Aruba, a Hewlett Packard Enterprise Company",0.0,WPA2-Personal,CCMP,802.11ax,108,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:31:35.476,2024-11-15 06:43:08.527,Infrastructure,Unknown,72.0,-71.0,Nam Phu,dc:b7:ac:73:c2:b3,-85,5540,102.60888051542403,17.963765061857952,,,,,,,,,,,,,
HUAWEI Mate 9,14:a5:1a:48:ee:39,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,11,18,24,36,54","6,9,12,48",2024-11-15 06:31:36.507,2024-11-15 06:32:12.814,Infrastructure,Unknown,36.0,-83.0,HUAWEI Mate 9,14:a5:1a:48:ee:39,-82,2412,102.60694319184066,17.963067712576667,,,,,,,,,,,,,
OPPO A53s 5G,6e:6b:19:ae:2f:5e,Unknown,0.0,WPA2-Personal,CCMP,802.11ac,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:31:36.507,2024-11-15 06:35:03.349,Infrastructure,Unknown,63.0,-74.0,OPPO A53s 5G,6e:6b:19:ae:2f:5e,-73,2412,102.60694319184066,17.963067712576667,,,,,,,,,,,,,
c62faef7,50:2c:c6:2f:ae:f7,"GREE ELECTRIC APPLIANCES, INC. OF ZHUHAI",0.0,WPA2-Personal,CCMP,802.11n,1,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-15 06:31:36.507,2024-11-15 06:32:12.814,Infrastructure,Unknown,69.0,-72.0,c62faef7,50:2c:c6:2f:ae:f7,-77,2412,102.60694319184066,17.963067712576667,,,,,,,,,,,,,
Nam Phu,b8:37:b2:86:4f:73,"Aruba, a Hewlett Packard Enterprise Company",0.0,WPA2-Personal,CCMP,802.11ax,56,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:31:37.986,2024-11-15 06:43:29.392,Infrastructure,Unknown,6.0,-93.0,Nam Phu,b8:37:b2:86:4f:73,-91,5280,102.60694319184066,17.963067712576667,,,,,,,,,,,,,
BOH,b8:37:b2:86:4f:72,"Aruba, a Hewlett Packard Enterprise Company",0.0,WPA2-Personal,CCMP,802.11ax,56,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:31:37.986,2024-11-15 06:43:29.392,Infrastructure,Unknown,36.0,-83.0,BOH,b8:37:b2:86:4f:72,-91,5280,102.60694319184066,17.963067712576667,,,,,,,,,,,,,
HuaweiAPMgt04:F9:38:8F:48:C0,04:f9:38:8f:48:cf,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,Open,,802.11n,6,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:31:40.454,2024-11-15 06:32:58.720,Infrastructure,Unknown,86.0,-53.0,HuaweiAPMgt04:F9:38:8F:48:C0,04:f9:38:8f:48:cf,-79,2437,102.60765706185586,17.964076980897477,,,,,,,,,,,,,
LAOREDCROSS,5c:a6:e6:f1:5a:1f,TP-Link Corporation Limited,0.0,WPA2-Personal,CCMP,802.11n,10,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:31:45.123,2024-11-15 06:32:20.034,Infrastructure,Unknown,30.0,-85.0,LAOREDCROSS,5c:a6:e6:f1:5a:1f,-87,2457,102.60694319184066,17.963067712576667,,,,,,,,,,,,,
MG-WiFi,70:61:7b:d8:8a:ef,"Cisco Systems, Inc",0.0,Open,,802.11ac,149,0.0,0.0,"12,18,24,36,48,54",,2024-11-15 06:31:52.169,2024-11-15 06:32:01.486,Infrastructure,Unknown,18.0,-89.0,MG-WiFi,70:61:7b:d8:8a:ef,-91,5745,102.60726589468231,17.963613589662458,,,,,,,,,,,,,
SITHM,4c:d6:29:bf:52:b4,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,WPA2-Personal,CCMP,802.11ac,3,0.0,0.0,"1,2,5.5,6,9,11,12,18,24,36,48,54",,2024-11-15 06:31:53.581,2024-11-15 06:43:13.441,Infrastructure,Unknown,78.0,-66.0,SITHM,4c:d6:29:bf:52:b4,-72,2422,102.60753526121792,17.963907531147743,,,,,,,,,,,,,
HUAWEI-1DF2,70:8a:09:99:1d:f2,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:31:53.581,2024-11-15 06:32:33.186,Infrastructure,Unknown,57.0,-76.0,HUAWEI-1DF2,70:8a:09:99:1d:f2,-76,2462,102.60726589468231,17.963613589662458,,,,,,,,,,,,,
Laos_Passenger,d8:47:32:f2:a6:7c,"TP-LINK TECHNOLOGIES CO.,LTD.",0.0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:31:53.581,2024-11-15 06:32:37.874,Infrastructure,Unknown,77.0,-68.0,Laos_Passenger,d8:47:32:f2:a6:7c,-70,2462,102.60726589468231,17.963613589662458,,,,,,,,,,,,,
HuaweiAPMgt04:F9:38:8F:7D:40,04:f9:38:8f:7d:4f,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,Open,,802.11n,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:31:56.101,2024-11-15 06:43:42.007,Infrastructure,Unknown,87.0,-52.0,HuaweiAPMgt04:F9:38:8F:7D:40,04:f9:38:8f:7d:4f,-57,2412,102.60779079388814,17.964217830994855,,,,,,,,,,,,,
DIRECT-D2-EPSON-12103B,66:c6:d2:12:90:3b,Unknown,0.0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:31:58.332,2024-11-15 06:32:28.309,Infrastructure,Unknown,63.0,-74.0,DIRECT-D2-EPSON-12103B,66:c6:d2:12:90:3b,-76,2462,102.60726589468231,17.963613589662458,,,,,,,,,,,,,
KCD@STAFF,46:d9:e7:6f:5b:5a,Unknown,0.0,WPA2-Personal,CCMP,802.11n,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:32:03.783,2024-11-15 06:44:37.503,Infrastructure,Unknown,77.0,-67.0,KCD@STAFF,46:d9:e7:6f:5b:5a,-77,2462,102.60767237464056,17.964120521440375,,,,,,,,,,,,,
sith7789,cc:29:bd:69:57:ee,zte corporation,0.0,WPA2-Personal,CCMP,802.11n,3,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-15 06:32:03.783,2024-11-15 06:43:08.527,Infrastructure,Unknown,81.0,-61.0,sith7789,cc:29:bd:69:57:ee,-70,2422,102.60753526121792,17.963907531147743,,,,,,,,,,,,,
SITHM,4c:d6:29:bf:52:b9,"HUAWEI TECHNOLOGIES CO.,LTD",0.0,WPA2-Personal,CCMP,802.11ax,48,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:32:05.424,2024-11-15 06:32:35.767,Infrastructure,Unknown,33.0,-84.0,SITHM,4c:d6:29:bf:52:b9,-71,5240,102.60753526121792,17.963907531147743,,,,,,,,,,,,,
MG-WiFi,70:61:7b:9e:e3:0f,"Cisco Systems, Inc",0.0,Open,,802.11ac,100,0.0,0.0,"18,24,36,48,54",,2024-11-15 06:32:06.897,2024-11-15 06:32:37.874,Infrastructure,Unknown,48.0,-79.0,MG-WiFi,70:61:7b:9e:e3:0f,-90,5500,102.60652903541244,17.96374533355841,,,,,,,,,,,,,
Daloun Southammavong,96:06:e8:40:b0:7d,Unknown,0.0,WPA2-Personal,CCMP,802.11ac,11,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:32:06.897,2024-11-15 06:32:37.874,Infrastructure,Unknown,36.0,-83.0,Daloun Southammavong,96:06:e8:40:b0:7d,-76,2462,102.60706138004925,17.963320235454212,,,,,,,,,,,,,
XIENGGNUN-APRATMENT,12:5f:02:82:31:44,Unknown,0.0,WPA-Personal,CCMP,802.11ax,100,0.0,0.0,"6,9,12,18,24,36,48,54",,2024-11-15 06:32:08.655,2024-11-15 06:32:45.404,Infrastructure,Unknown,12.0,-91.0,XIENGGNUN-APRATMENT,12:5f:02:82:31:44,-87,5500,102.60753526121792,17.963907531147743,,,,,,,,,,,,,
XIENGGNUN-APRATMENT,10:5f:02:42:31:44,Private,0.0,WPA-Personal,CCMP,802.11ax,1,0.0,0.0,"1,2,5.5,11","9,18,36,54,6,12,24,48",2024-11-15 06:32:08.655,2024-11-15 06:32:45.404,Infrastructure,Unknown,69.0,-72.0,XIENGGNUN-APRATMENT,10:5f:02:42:31:44,-71,2412,102.60753526121792,17.963907531147743,,,,,,,,,,,,,
KHOP CHAI DEU 1,f4:28:54:02:9d:bc,Unknown,0.0,WPA2-Personal,CCMP,802.11ac,1,0.0,0.0,"1,2,5.5,11","6,9,12,18,24,36,48,54",2024-11-15 06:32:08.655,2024-11-15 06:43:08.527,Infrastructure,Unknown,82.0,-59.0,KHOP CHAI DEU 1,f4:28:54:02:9d:bc,-78,2412,102.6076663746482,17.964395296265394,,,,,,,,,,,,,
